LineId,Month,Date,Time,User,Component,PID,Address,Content,EventId,EventTemplate,System,VariableTemplate,OID,LOI,OBN,TID,SID,TDA,CRS,OBA,STC,OTP
52,Jul,1,09:39:57,calvisitor-10-105-160-95,kernel,0,,"ARPT: 621490.858770: wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq 2119064372, Ack 3325040593, Win size 278",Mac_E150,"ARPT: <*>: wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq <*>, Ack <*>, Win size <*>",Mac,O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
56,Jul,1,09:41:34,calvisitor-10-105-160-95,kernel,0,,en0::IO80211Interface::postMessage bssid changed,Mac_E56,<*>::<*>::postMessage bssid changed,Mac,O O O O O OID O O O O O O O O O,1,0,0,0,0,0,0,0,0,0
64,Jul,1,09:42:23,calvisitor-10-105-160-95,kernel,0,,AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = 1 dlla_reporting_supported = 0,Mac_E54,<*>::<*> - intel_rp = <*> dlla_reporting_supported = <*>,Mac,O O O O O O O O O O O OBA,0,0,0,0,0,0,0,1,0,0
66,Jul,1,09:43:22,calvisitor-10-105-160-95,mDNSResponder,91,,mDNS_RegisterInterface: Frequent transitions for interface en0 (FE80:0000:0000:0000:C6B3:01FF:FECD:467F),Mac_E263,mDNS_RegisterInterface: Frequent transitions for interface en0 (<*>),Mac,O O O O O O O O O LOI,0,1,0,0,0,0,0,0,0,0
67,Jul,1,09:44:23,authorMacBook-Pro,kernel,0,,AppleCamIn::wakeEventHandlerThread,Mac_E121,AppleCamIn::wakeEventHandlerThread,Mac,O O O O O O,0,0,0,0,0,0,0,0,0,0
70,Jul,1,09:45:08,calvisitor-10-105-160-95,kernel,0,,"ARPT: 621686.164365: wl0: setup_keepalive: Local port: 62614, Remote port: 443",Mac_E146,"ARPT: <*>: wl0: setup_keepalive: Local port: <*>, Remote port: <*>",Mac,O O O O O O O O O O O OBA,0,0,0,0,0,0,0,1,0,0
74,Jul,1,10:08:20,calvisitor-10-105-160-95,Dock,307,,-[UABestAppSuggestionManager notifyBestAppChanged:type:options:bundleIdentifier:activityType:dynamicIdentifier:when:confidence:deviceName:deviceIdentifier:deviceType:] (null) UASuggestedActionType=0 (null)/(null) opts=(null) when=2017-07-01 17:08:20 +0000 confidence=1 from=(null)/(null) (UABestAppSuggestionManager.m #319),Mac_E48,-[UABestAppSuggestionManager notifyBestAppChanged:type:options:bundleIdentifier:activityType:dynamicIdentifier:when:confidence:deviceName:deviceIdentifier:deviceType:] (<*>) UASuggestedActionType=<*> (<*>)/(<*>) opts=(<*>) when=<*>,Mac,O O O O O O O O O O O O O O O O TID,0,0,0,1,0,0,0,0,0,0
75,Jul,1,10:08:20,calvisitor-10-105-160-95,kernel,0,,en0: channel changed to 1,Mac_E208,en0: channel changed to <*>,Mac,O O O O O OID O O O O O O O O O,1,0,0,0,0,0,0,0,0,0
76,Jul,1,10:08:20,authorMacBook-Pro,kernel,0,,ARPT: 621799.252673: AQM agg results 0x8001 len hi/lo: 0x0 0x26 BAbitmap(0-3) 0 0 0 0,Mac_E130,ARPT: <*>: AQM agg results <*> len hi/lo: <*> <*> BAbitmap(<*>-<*>) <*>,Mac,O O O O O O OID OID O O,2,0,0,0,0,0,0,0,0,0
77,Jul,1,10:08:21,authorMacBook-Pro,corecaptured,31313,,"CCFile::captureLog Received Capture notice id: 1498928900.759059, reason = AuthFail:sts:5_rsn:0",Mac_E171,"CCFile::captureLog Received Capture notice id: <*>, reason = AuthFail:sts:<NUM>_rsn:<NUM>",Mac,O O O O O O O O,0,0,0,0,0,0,0,0,0,0
79,Jul,1,10:08:49,calvisitor-10-105-160-95,kernel,0,,IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from AUTO to SUSPENDED,Mac_E59,<*>::setAwdlOperatingMode Setting the AWDL operation mode from AUTO to SUSPENDED,Mac,O O O O O O O O,0,0,0,0,0,0,0,0,0,0
80,Jul,1,10:08:55,calvisitor-10-105-160-95,AddressBookSourceSync,31318,,Unrecognized attribute value: t:AbchPersonItemType,Mac_E328,Unrecognized attribute value: t:AbchPersonItemType,Mac,O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
84,Jul,1,10:13:39,calvisitor-10-105-160-95,secd,276,,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=1035 ""Account identity not set"" UserInfo={NSDescription=Account identity not set}",Mac_E313,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=<*> ""Account identity not set"" UserInfo={NSDescription=Account identity not set}",Mac,O O O O O O,0,0,0,0,0,0,0,0,0,0
85,Jul,1,10:13:43,calvisitor-10-105-160-95,SpotlightNetHelper,352,,"CFPasteboardRef CFPasteboardCreate(CFAllocatorRef, CFStringRef) : failed to create global data",Mac_E183,"CFPasteboardRef CFPasteboardCreate(CFAllocatorRef, CFStringRef) : failed to create global data",Mac,O O O O O LOI O STC O O O TDA O O OBA,0,1,0,0,0,1,0,1,1,0
89,Jul,1,10:46:47,calvisitor-10-105-160-95,sharingd,30299,,10:46:47.425 : BTLE scanner Powered On,Mac_E64,<*>:<*>:<*> : BTLE scanner Powered On,Mac,O O O O O O O O O O SID,0,0,0,0,1,0,0,0,0,0
90,Jul,1,10:46:48,calvisitor-10-105-160-95,QQ,10018,,button report: 0x8002be0,Mac_E161,button report: <*>,Mac,O O O O O O,0,0,0,0,0,0,0,0,0,0
92,Jul,1,11:20:51,calvisitor-10-105-160-95,sharingd,30299,,11:20:51.293 : BTLE discovered device with hash <01faa200 00000000 0000>,Mac_E62,<*>:<*>:<*> : BTLE discovered device with hash <*> <*> <*>,Mac,O O O O O O O O O O O OBA,0,0,0,0,0,0,0,1,0,0
93,Jul,1,11:24:45,calvisitor-10-105-160-95,secd,276,,"securityd_xpc_dictionary_handler cloudd[326] copy_matching Error Domain=NSOSStatusErrorDomain Code=-50 ""query missing class name"" (paramErr: error in user parameter list) UserInfo={NSDescription=query missing class name}",Mac_E304,"securityd_xpc_dictionary_handler cloudd[<*>] copy_matching Error Domain=NSOSStatusErrorDomain Code=<*> ""query missing class name"" (paramErr: error in user parameter list) UserInfo={NSDescription=query missing class name}",Mac,O O O O O O,0,0,0,0,0,0,0,0,0,0
94,Jul,1,11:29:32,calvisitor-10-105-160-95,locationd,82,,Location icon should now be in state 'Inactive',Mac_E259,Location icon should now be in state 'Inactive',Mac,O O O O O O O O STC O O O STC,0,0,0,0,0,0,0,0,2,0
95,Jul,1,11:38:18,calvisitor-10-105-160-95,kernel,0,,"ARPT: 626126.086205: wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10",Mac_E144,"ARPT: <*>: wl0: setup_keepalive: interval <*>, retry_interval <*>, retry_count <*>",Mac,O O O O O O O O,0,0,0,0,0,0,0,0,0,0
96,Jul,1,11:38:18,calvisitor-10-105-160-95,kernel,0,,ARPT: 626126.086246: wl0: MDNS: IPV4 Addr: 10.105.160.95,Mac_E141,ARPT: <*>: wl0: MDNS: IPV4 Addr: <*>,Mac,O O O O O O OID O O O O LOI,1,1,0,0,0,0,0,0,0,0
100,Jul,1,11:39:48,calvisitor-10-105-160-95,networkd,195,,__42-[NETClientConnection evaluateCrazyIvan46]_block_invoke CI46 - Hit by torpedo! QQ.10018 tc19060 125.39.133.143:14000,Mac_E49,<*>-[NETClientConnection <*>]_block_invoke CI46 - Hit by torpedo! <*> <*> <*>:<*>,Mac,O O O O O LOI O O O OBA,0,1,0,0,0,0,0,1,0,0
102,Jul,1,11:41:26,authorMacBook-Pro,kernel,0,,"Setting BTCoex Config: enable_2G:1, profile_2g:0, enable_5G:1, profile_5G:0",Mac_E310,"Setting BTCoex Config: <*>:<*>, <*>:<*>, <*>:<*>, <*>:<*>",Mac,O O O O O O O O O LOI OID STC STC O O O,1,1,0,0,0,0,0,0,2,0
105,Jul,1,11:43:08,authorMacBook-Pro,UserEventAgent,43,,Captive: [CNInfoNetworkActive:1748] en0: SSID 'CalVisitor' making interface primary (cache indicates network not captive),Mac_E162,Captive: [CNInfoNetworkActive:<*>] en0: SSID 'CalVisitor' making interface primary (cache indicates network not captive),Mac,O O O O O O O O O O O O O LOI O O LOI O O SID,0,2,0,0,1,0,0,0,0,0
109,Jul,1,11:44:26,authorMacBook-Pro,kernel,0,,IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from SUSPENDED to AUTO,Mac_E60,<*>::setAwdlOperatingMode Setting the AWDL operation mode from SUSPENDED to AUTO,Mac,O O O O O O O O,0,0,0,0,0,0,0,0,0,0
110,Jul,1,11:46:16,calvisitor-10-105-160-95,symptomsd,215,,-[NetworkAnalyticsEngine _writeJournalRecord:fromCellFingerprint:key:atLOI:ofKind:lqm:isFaulty:] Hashing of the primary key failed. Dropping the journal record.,Mac_E44,-[NetworkAnalyticsEngine _writeJournalRecord:fromCellFingerprint:key:atLOI:ofKind:lqm:isFaulty:] Hashing of the primary key failed. Dropping the journal record.,Mac,O O O O O O O O O TID,0,0,0,1,0,0,0,0,0,0
112,Jul,1,11:46:19,authorMacBook-Pro,sharingd,30299,,11:46:19.229 : Finished generating hashes,Mac_E68,<*>:<*>:<*> : Finished generating hashes,Mac,O O O O O OID O O O O O O TDA O,1,0,0,0,0,1,0,0,0,0
113,Jul,1,11:46:21,authorMacBook-Pro,UserEventAgent,43,,Captive: CNPluginHandler en0: Evaluating,Mac_E164,Captive: CNPluginHandler en0: Evaluating,Mac,O O O O O OID O O O O OBA,1,0,0,0,0,0,0,1,0,0
119,Jul,1,11:49:29,calvisitor-10-105-160-95,QQ,10018,,tcp_connection_destination_perform_socket_connect 19110 connectx to 183.57.48.75:80@0 failed: [50] Network is down,Mac_E316,tcp_connection_destination_perform_socket_connect <*> connectx to <*>:<*>@<*> failed: [<*>] Network is down,Mac,O O O O O O O O O O O LOI,0,1,0,0,0,0,0,0,0,0
120,Jul,1,11:49:29,calvisitor-10-105-160-95,kernel,0,,AirPort: Link Down on en0. Reason 8 (Disassociated because station leaving).,Mac_E110,AirPort: Link Down on en0. Reason <*> (Disassociated because station leaving).,Mac,O O O O O O O O STC,0,0,0,0,0,0,0,0,1,0
122,Jul,1,11:49:29,authorMacBook-Pro,kernel,0,,"USBMSC Identifier (non-unique): 000000000820 0x5ac 0x8406 0x820, 3",Mac_E331,USBMSC Identifier (non-unique): <*>,Mac,O O O O O LOI O O O O LOI O O O O O O O O O O O O O O,0,2,0,0,0,0,0,0,0,0
124,Jul,1,11:49:30,authorMacBook-Pro,corecaptured,31480,,CCXPCService::setStreamEventHandler Registered for notification callback.,Mac_E180,CCXPCService::setStreamEventHandler Registered for notification callback.,Mac,O O O O O OID OID O O O,2,0,0,0,0,0,0,0,0,0
125,Jul,1,11:49:30,authorMacBook-Pro,Dropbox,24019,,[0701/114930:WARNING:dns_config_service_posix.cc(306)] Failed to read DnsConfig.,Mac_E10,[<*>/<*>:WARNING:dns_config_service_posix.cc(<*>)] Failed to read DnsConfig.,Mac,O O O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
126,Jul,1,11:49:35,calvisitor-10-105-160-95,cdpd,11807,,Saw change in network reachability (isReachable=2),Mac_E301,Saw change in network reachability (isReachable=<*>),Mac,O O O O O O O,0,0,0,0,0,0,0,0,0,0
127,Jul,1,11:51:02,authorMacBook-Pro,kernel,0,,[HID] [ATC] AppleDeviceManagementHIDEventService::processWakeReason Wake reason: Host (0x01),Mac_E33,[HID] [ATC] AppleDeviceManagementHIDEventService::processWakeReason Wake reason: Host (<*>),Mac,O O O O O LOI O O STC O O O O LOI O LOI,0,3,0,0,0,0,0,0,1,0
128,Jul,1,11:51:07,authorMacBook-Pro,kernel,0,,en0: BSSID changed to 5c:50:15:36:bc:03,Mac_E207,en0: BSSID changed to <*>,Mac,O O O O O O O O O LOI,0,1,0,0,0,0,0,0,0,0
132,Jul,1,11:51:25,calvisitor-10-105-160-95,com.apple.AddressBook.InternetAccountsBridge,31496,,dnssd_clientstub ConnectToServer: connect()-> No of tries: 1,Mac_E203,dnssd_clientstub ConnectToServer: connect()-> No of tries: <*>,Mac,O O O O O O O O,0,0,0,0,0,0,0,0,0,0
135,Jul,1,11:53:49,authorMacBook-Pro,networkd,195,,-[NETClientConnection effectiveBundleID] using process name apsd as bundle ID (this is expected for daemons without bundle ID,Mac_E41,-[NETClientConnection effectiveBundleID] using process name apsd as bundle ID (this is expected for daemons without bundle ID,Mac,O O O O O O OID OID O O,2,0,0,0,0,0,0,0,0,0
147,Jul,1,12:52:57,calvisitor-10-105-160-95,kernel,0,,"RTC: Maintenance 2017/7/1 19:52:56, sleep 2017/7/1 19:40:18",Mac_E295,"RTC: Maintenance <*>/<*>/<*> <*>:<*>:<*>, sleep <*>/<*>/<*> <*>:<*>:<*>",Mac,O O O O O O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
157,Jul,1,13:41:48,calvisitor-10-105-160-95,kernel,0,,RTC: PowerByCalendarDate setting ignored,Mac_E296,RTC: PowerByCalendarDate setting ignored,Mac,O O O O O O O STC,0,0,0,0,0,0,0,0,1,0
159,Jul,1,13:42:01,calvisitor-10-105-160-95,locationd,82,,Location icon should now be in state 'Active',Mac_E258,Location icon should now be in state 'Active',Mac,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
162,Jul,1,13:47:33,calvisitor-10-105-160-95,kernel,0,,en0: 802.11d country code set to 'X3'.,Mac_E206,en0: <*> country code set to '<*>'.,Mac,O O O O O LOI O O O O O O O,0,1,0,0,0,0,0,0,0,0
166,Jul,1,14:01:24,calvisitor-10-105-160-95,kernel,0,,"ARPT: 627305.613279: wl0: setup_keepalive: Seq: 1664112163, Ack: 818851215, Win size: 4096",Mac_E148,"ARPT: <*>: wl0: setup_keepalive: Seq: <*>, Ack: <*>, Win size: <*>",Mac,O O O O O O O O TDA O OBA O,0,0,0,0,0,1,0,1,0,0
170,Jul,1,14:29:01,calvisitor-10-105-160-95,sandboxd,129,[10018],QQ(10018) deny mach-lookup com.apple.networking.captivenetworksupport,Mac_E51,<*>(<*>) deny mach-lookup com.apple.networking.captivenetworksupport,Mac,O O O O O O OID O O,1,0,0,0,0,0,0,0,0,0
173,Jul,1,14:52:03,calvisitor-10-105-160-95,kernel,0,,[HID] [MT] AppleMultitouchDevice::willTerminate entered,Mac_E36,[HID] [MT] AppleMultitouchDevice::willTerminate entered,Mac,O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
174,Jul,1,14:52:03,calvisitor-10-105-160-95,blued,85,,[BluetoothHIDDeviceController] EventServiceDisconnectedCallback,Mac_E24,[BluetoothHIDDeviceController] EventServiceDisconnectedCallback,Mac,O O O O O O LOI O O O O O O O O O O O O O O TDA O,0,1,0,0,0,1,0,0,0,0
175,Jul,1,15:05:42,calvisitor-10-105-160-95,kernel,0,,PMStats: Hibernate read took 197 ms,Mac_E291,PMStats: Hibernate read took <*> ms,Mac,O O O O O O LOI O O O O O O O O O O O O O O TDA O,0,1,0,0,0,1,0,0,0,0
177,Jul,1,15:05:51,calvisitor-10-105-160-95,com.apple.AddressBook.InternetAccountsBridge,31654,,dnssd_clientstub ConnectToServer: connect() failed path:/var/run/mDNSResponder Socket:4 Err:-1 Errno:1 Operation not permitted,Mac_E202,dnssd_clientstub ConnectToServer: connect() failed path:<*> Socket:<*> Err:<*> Errno:<*> Operation not permitted,Mac,O O O O O O O O O O OID O O O O O O O O,1,0,0,0,0,0,0,0,0,0
178,Jul,1,19:43:22,calvisitor-10-105-160-95,kernel,0,,"pages 1471315, wire 491253, act 449877, inact 3, cleaned 0 spec 5, zf 23, throt 0, compr 345876, xpmapped 40000",Mac_E282,"pages <*>, wire <*>, act <*>, inact <*>, cleaned <*> spec <*>, zf <*>, throt <*>, compr <*>, xpmapped <*>",Mac,O O O O O O OID LOI O O O O O O O O O O,1,1,0,0,0,0,0,0,0,0
179,Jul,1,19:43:22,calvisitor-10-105-160-95,VDCAssistant,213,,"VDCAssistant:  Found a camera (0x1430000005ac8290) , but was not able to start it up (0x0 -- (os/kern) successful)",Mac_E332,"VDCAssistant: Found a camera (<*>) , but was not able to start it up (<*> -- (os/kern) successful)",Mac,O O O O O O,0,0,0,0,0,0,0,0,0,0
180,Jul,1,19:43:22,calvisitor-10-105-160-95,WindowServer,184,,handle_will_sleep_auth_and_shield_windows: Reordering authw 0x7fa823a04400(2004) (lock state: 3),Mac_E224,handle_will_sleep_auth_and_shield_windows: Reordering authw <*>(<*>) (lock state: <*>),Mac,O O O O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
