LineId,Date,Time,Level,Node,Component,Id,Content,EventId,EventTemplate,System,VariableTemplate,OID,LOI,OBN,TID,SID,TDA,CRS,OBA,STC,OTP
1380,2015-07-31,"15:36:24,570",INFO,LearnerHandler-/10.10.34.13,59348:LearnerHandler,263,Follower sid: 3 : info : org.apache.zookeeper.server.quorum.QuorumPeer$QuorumServer@33557fe4,Zookeeper_E17,Follower sid: <*> : info : org.apache.zookeeper.server.quorum.QuorumPeer$QuorumServer@<*>,Zookeeper,O O O O O O O O,0,0,0,0,0,0,0,0,0,0
1406,2015-08-10,"18:23:56,268",INFO,NIOServerCxn.Factory,0.0.0.0/0.0.0.0:2181:Learner,107,Revalidating client: 0x24f0557806a001c,Zookeeper_E41,Revalidating client: <*>,Zookeeper,O O O O O O O,0,0,0,0,0,0,0,0,0,0
1408,2015-08-10,"18:25:25,239",INFO,main,QuorumPeer,944,maxSessionTimeout set to -1,Zookeeper_E27,maxSessionTimeout set to <*>,Zookeeper,O O O O O O O O,0,0,0,0,0,0,0,0,0,0
1410,2015-08-10,"18:25:25,673",INFO,QuorumPeer[myid=2]/0,0:0:0:0:0:0:0:2181:QuorumPeer,738,FOLLOWING,Zookeeper_E18,FOLLOWING,Zookeeper,O O O O O O O O,0,0,0,0,0,0,0,0,0,0
1413,2015-08-10,"18:25:27,964",INFO,NIOServerCxn.Factory,0.0.0.0/0.0.0.0:2181:ZooKeeperServer,832,Client attempting to renew session 0x24f0557806a0020 at /10.10.34.17:55969,Zookeeper_E8,Client attempting to renew session <*> at <*>:<*>,Zookeeper,O O O O O O O O O O O O OID,1,0,0,0,0,0,0,0,0,0
1419,2015-08-18,"16:09:18,900",INFO,LearnerHandler-/10.10.34.11,49928:Leader,598,Have quorum of supporters; starting up and setting last processed zxid: 0xb00000000,Zookeeper_E22,Have quorum of supporters; starting up and setting last processed zxid: <*>,Zookeeper,O O O O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
1420,2015-08-18,"16:09:22,982",INFO,WorkerReceiver[myid=2],FastLeaderElection,542,"Notification: 2 (n.leader), 0xa0000009a (n.zxid), 0x1 (n.round), FOLLOWING (n.state), 1 (n.sid), 0xa (n.peerEPoch), LEADING (my state)",Zookeeper_E33,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), FOLLOWING (n.state), <*> (n.sid), <*> (n.peerEPoch), LEADING (my state)",Zookeeper,O O O O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
1428,2015-08-20,"17:12:29,085",INFO,QuorumPeer[myid=2]/0,0:0:0:0:0:0:0:2181:FinalRequestProcessor,415,shutdown of request processor complete,Zookeeper_E45,shutdown of request processor complete,Zookeeper,O O O O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
1432,2015-08-20,"17:13:51,524",WARN,NIOServerCxn.Factory,0.0.0.0/0.0.0.0:2181:NIOServerCnxn,354,Exception causing close of session 0x0 due to java.io.IOException: ZooKeeperServer not running,Zookeeper_E14,Exception causing close of session <*> due to java.io.IOException: ZooKeeperServer not running,Zookeeper,O O O O O O O O,0,0,0,0,0,0,0,0,0,0
1433,2015-08-20,"17:14:13,880",WARN,LearnerHandler-/10.10.34.13,42241:Leader,576,First is 0x0,Zookeeper_E16,First is <*>,Zookeeper,O O O O O O O O O O OID O O O OID O O,2,0,0,0,0,0,0,0,0,0
1435,2015-08-20,"17:14:14,196",INFO,WorkerReceiver[myid=2],FastLeaderElection,542,"Notification: 1 (n.leader), 0xb0000007b (n.zxid), 0x2 (n.round), LOOKING (n.state), 1 (n.sid), 0xb (n.peerEPoch), LEADING (my state)",Zookeeper_E36,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), LOOKING (n.state), <*> (n.sid), <*> (n.peerEPoch), LEADING (my state)",Zookeeper,O O O O O O O O O LOI,0,1,0,0,0,0,0,0,0,0
1454,2015-08-25,"11:14:51,514",INFO,main,DatadirCleanupManager,79,autopurge.purgeInterval set to 0,Zookeeper_E3,autopurge.purgeInterval set to <*>,Zookeeper,O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
1455,2015-08-25,"11:14:51,662",INFO,main,FileSnap,83,Reading snapshot /var/lib/zookeeper/version-2/snapshot.b00000084,Zookeeper_E39,Reading snapshot <*>,Zookeeper,O O O O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
1456,2015-08-25,"11:14:53,074",INFO,LearnerHandler-/10.10.34.11,32976:LearnerHandler,395,Sending DIFF,Zookeeper_E43,Sending DIFF,Zookeeper,O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
1462,2015-07-29,"17:42:53,528",WARN,WorkerSender[myid=3],QuorumCnxManager,368,Cannot open channel to 2 at election address /10.10.34.12:3888,Zookeeper_E5,Cannot open channel to <*> at election address <*>:<*>,Zookeeper,O O O O O O O O O O OID O O O OID O O,2,0,0,0,0,0,0,0,0,0
1915,2015-07-29,"19:37:08,902",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,688,Send worker leaving thread,Zookeeper_E42,Send worker leaving thread,Zookeeper,O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
1917,2015-07-29,"19:37:09,092",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,679,Interrupted while waiting for message on queue,Zookeeper_E24,Interrupted while waiting for message on queue,Zookeeper,O O O O O O O O,0,0,0,0,0,0,0,0,0,0
1920,2015-07-29,"19:37:19,003",WARN,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,765,Interrupting SendWorker,Zookeeper_E25,Interrupting SendWorker,Zookeeper,O O O O O O O O,0,0,0,0,0,0,0,0,0,0
1923,2015-07-29,"19:55:01,647",INFO,NIOServerCxn.Factory,0.0.0.0/0.0.0.0:2181:NIOServerCnxn,1001,Closed socket connection for client /10.10.34.13:54294 (no session established for client),Zookeeper_E9,Closed socket connection for client <*>:<*> (no session established for client),Zookeeper,O O O O O O O O O LOI,0,1,0,0,0,0,0,0,0,0
1956,2015-07-30,"17:40:45,765",WARN,RecvWorker,1:QuorumCnxManager$RecvWorker,762,"Connection broken for id 1, my id = 3, error =",Zookeeper_E11,"Connection broken for id <*>, my id = <*>, error =",Zookeeper,O O O O O O O O O O OID O O O OID O O,2,0,0,0,0,0,0,0,0,0
1958,2015-07-30,"17:57:38,413",INFO,QuorumPeer[myid=3]/0,0:0:0:0:0:0:0:2181:QuorumPeer,670,LOOKING,Zookeeper_E26,LOOKING,Zookeeper,O O O O O O O O O O OID O O O OID O O,2,0,0,0,0,0,0,0,0,0
1959,2015-07-30,"17:57:38,440",INFO,WorkerReceiver[myid=3],FastLeaderElection,542,"Notification: 3 (n.leader), 0x100001564 (n.zxid), 0x3 (n.round), FOLLOWING (n.state), 3 (n.sid), 0x2 (n.peerEPoch), FOLLOWING (my state)",Zookeeper_E32,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), FOLLOWING (n.state), <*> (n.sid), <*> (n.peerEPoch), FOLLOWING (my state)",Zookeeper,O O O O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
1982,2015-07-31,"00:16:12,152",WARN,NIOServerCxn.Factory,0.0.0.0/0.0.0.0:2181:NIOServerCnxn,349,caught end of stream exception,Zookeeper_E6,caught end of stream exception,Zookeeper,O O O O O O O O O LOI,0,1,0,0,0,0,0,0,0,0
1987,2015-07-31,"11:09:02,548",WARN,NIOServerCxn.Factory,0.0.0.0/0.0.0.0:2181:ZooKeeperServer,793,Connection request from old client /10.10.34.37:34701; will be dropped if server is in r-o mode,Zookeeper_E12,Connection request from old client <*>:<*>; will be dropped if server is in r-o mode,Zookeeper,O O O O O O O O OID O O O TDA O O LOI,1,1,0,0,0,1,0,0,0,0
1988,2015-07-31,"15:15:17,186",INFO,/10.10.34.13,3888:QuorumCnxManager$Listener,493,Received connection request /10.10.34.11:53230,Zookeeper_E40,Received connection request <*>:<*>,Zookeeper,O O O O O O O O O O OID O O O OID O O,2,0,0,0,0,0,0,0,0,0
1989,2015-07-31,"15:36:23,686",INFO,main,QuorumPeer,933,minSessionTimeout set to -1,Zookeeper_E28,minSessionTimeout set to <*>,Zookeeper,O O O O O O O O O O OID O O O OID O O,2,0,0,0,0,0,0,0,0,0
1990,2015-07-31,"15:36:23,865",INFO,QuorumPeer[myid=3]/0,0:0:0:0:0:0:0:2181:Environment,100,Server environment:java.home=/usr/lib/jvm/java-7-openjdk-amd64/jre,Zookeeper_E44,Server environment:<*>,Zookeeper,O O O O O O O O O O OID O O O OID O O,2,0,0,0,0,0,0,0,0,0
1991,2015-07-31,"15:36:23,884",INFO,QuorumPeer[myid=3]/0,0:0:0:0:0:0:0:2181:Learner,325,Getting a snapshot from leader,Zookeeper_E20,Getting a snapshot from leader,Zookeeper,O O O O O O O O O O OID O O O OID O O,2,0,0,0,0,0,0,0,0,0
1993,2015-07-31,"21:32:18,447",INFO,NIOServerCxn.Factory,0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory,197,Accepted socket connection from /10.10.34.23:51828,Zookeeper_E2,Accepted socket connection from <*>:<*>,Zookeeper,O O O O O O O O,0,0,0,0,0,0,0,0,0,0
1994,2015-07-31,"21:32:19,994",INFO,CommitProcessor,3:ZooKeeperServer,595,Established session 0x34ee30a5c53002b with negotiated timeout 10000 for client /10.10.34.42:37429,Zookeeper_E13,Established session <*> with negotiated timeout <*> for client <*>:<*>,Zookeeper,O O O O O O O O,0,0,0,0,0,0,0,0,0,0
1995,2015-08-07,"07:27:46,402",INFO,WorkerReceiver[myid=3],FastLeaderElection,542,"Notification: 3 (n.leader), 0x700000197 (n.zxid), 0x1 (n.round), LOOKING (n.state), 3 (n.sid), 0x7 (n.peerEPoch), LOOKING (my state)",Zookeeper_E37,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), LOOKING (n.state), <*> (n.sid), <*> (n.peerEPoch), LOOKING (my state)",Zookeeper,O O O O O O O O O O OID O O O OID O O,2,0,0,0,0,0,0,0,0,0
1996,2015-08-10,"17:52:39,698",INFO,NIOServerCxn.Factory,0.0.0.0/0.0.0.0:2181:ZooKeeperServer,839,Client attempting to establish new session at /10.10.34.13:58180,Zookeeper_E7,Client attempting to establish new session at <*>:<*>,Zookeeper,O O O O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
1997,2015-08-10,"17:53:14,914",INFO,NIOServerCxn.Factory,0.0.0.0/0.0.0.0:2181:NIOServerCnxn,1001,Closed socket connection for client /10.10.34.12:33342 which had sessionid 0x34f0557885e0002,Zookeeper_E10,Closed socket connection for client <*>:<*> which had sessionid <*>,Zookeeper,O O O O O O O O O LOI,0,1,0,0,0,0,0,0,0,0
1999,2015-08-10,"18:12:34,001",INFO,SessionTracker,ZooKeeperServer,325,"Expiring session 0x14f05578bd8000f, timeout of 10000ms exceeded",Zookeeper_E15,"Expiring session <*>, timeout of <*> exceeded",Zookeeper,O O O O O O O O O LOI,0,1,0,0,0,0,0,0,0,0
2000,2015-08-10,"18:12:34,004",INFO,ProcessThread(sid,3 cport:-1)::PrepRequestProcessor,476,Processed session termination for sessionid: 0x24f0557806a0010,Zookeeper_E38,Processed session termination for sessionid: <*>,Zookeeper,O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
