LineId,LogId,Node,Component,State,Time,Flag,Content,EventId,EventTemplate,System,VariableTemplate,OID,LOI,OBN,TID,SID,TDA,CRS,OBA,STC,OTP
177,347972,node-118,node,psu,1140430530,1,psu failure\ ambient=31,HPC_E35,psu failure\ ambient=<*>,HPC,O O O O O O O,0,0,0,0,0,0,0,0,0,0
179,147494,Interconnect-0N00,switch_module,temphigh,1129813980,1,Temperature (41C) exceeds warning threshold,HPC_E44,Temperature (<*>) exceeds warning threshold,HPC,O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
211,327002,node-D0,clusterfilesystem,clusterfilesystem.no_server,1140098601,1,ClusterFileSystem: There is no server for ServerFileSystem domain storage321,HPC_E10,ClusterFileSystem: There is no server for ServerFileSystem domain <*>,HPC,O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
213,401608,node-162,unix.hw,net.niff.down,1142550442,1,NIFF: node node-162 detected a failed network connection on network 5.5.224.0 via interface alt0,HPC_E27,NIFF: node node-<*> detected a failed network connection on network <*> via interface alt0,HPC,O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
214,180537,node-D0,clusterfilesystem,fdmn.panic,1131228351,1,ServerFileSystem: An ServerFileSystem domain panic has occurred on storage442,HPC_E39,ServerFileSystem: An ServerFileSystem domain panic has occurred on <*>,HPC,O O O O O O O O O OBN O O,0,0,1,0,0,0,0,0,0,0
301,441407,Interconnect-0N00,switch_module,fan,1143980889,1,Fan speeds ( 3534 3534 3375 4115 3497 3479 ),HPC_E18,Fan speeds ( <*> <*> <*> <*> <*> <*> ),HPC,O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
304,441208,Interconnect-0N00,switch_module,fan,1143979502,1,Fan speeds ( 3534 3534 3375 **** 3497 3479 ),HPC_E17,Fan speeds ( <*> <*> <*> **** <*> <*> ),HPC,O O O O O O OBA,0,0,0,0,0,0,0,1,0,0
305,130987,3504,boot_cmd,abort,1111858191,1,Command has been aborted,HPC_E11,Command has been aborted,HPC,O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
306,27385,Interconnect-0N02,switch_module,control,1101771720,1,power/control problem,HPC_E34,power/control problem,HPC,O O O O O O OBA,0,0,0,0,0,0,0,1,0,0
322,408221,Interconnect-1T00,switch_module,bcast-error,1142752287,1,Link error on broadcast tree Interconnect-1T00:00:2:0,HPC_E22,Link error on broadcast tree Interconnect-<*>:<*>:<*>:<*>,HPC,O O O O O O O O OBN O O O O O O O O LOI O O O,0,1,1,0,0,0,0,0,0,0
334,218505,node-D3,clusterfilesystem,fdmn.full,1117130918,1,ServerFileSystem: ServerFileSystem domain root22_local is full,HPC_E40,ServerFileSystem: ServerFileSystem domain <*> is full,HPC,O O O O O O O O,0,0,0,0,0,0,0,0,0,0
370,226890,node-D6,clusterfilesystem,clusterfilesystem.not_served,1132171167,1,ClusterFileSystem: ServerFileSystem domain root28_domain is no longer served by node node-219,HPC_E9,ClusterFileSystem: ServerFileSystem domain <*> is no longer served by node node-<*>,HPC,O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
541,371602,node--tc6,tserver,status,1085921002,1,not-responding,HPC_E33,not-responding,HPC,O O O O O O O O STC,0,0,0,0,0,0,0,0,1,0
628,140676,full,partition,status,1112346856,1,starting,HPC_E41,starting,HPC,O O O O O O O,0,0,0,0,0,0,0,0,0,0
656,58843,full,partition,status,1126818053,1,closing,HPC_E7,closing,HPC,O O O O O O O,0,0,0,0,0,0,0,0,0,0
675,204732,node-44,node,status,1131527920,1,active,HPC_E1,active,HPC,O O O O O O O,0,0,0,0,0,0,0,0,0,0
700,415345,node-D0,domain,status,1142942280,1,inconsistent nodesets node-31 0x1fffffffe <ok> node-0 0xfffffffe <ok> node-1 0xfffffffe <ok> node-2 0xfffffffe <ok> node-30 0xfffffffe <ok>,HPC_E20,inconsistent nodesets node-<*> <*> <ok> node-<*> <*> <ok> node-<*> <*> <ok> node-<*> <*> <*>,HPC,O O O O O O O,0,0,0,0,0,0,0,0,0,0
703,454307,full,partition,status,1145174910,1,blocked,HPC_E3,blocked,HPC,O O O O O O O,0,0,0,0,0,0,0,0,0,0
705,459286,node-208,node,status,1145542009,1,not responding,HPC_E32,not responding,HPC,O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
706,459133,node-108,node,status,1145541960,1,configured out,HPC_E14,configured out,HPC,O O O O O O OBA,0,0,0,0,0,0,0,1,0,0
710,463684,node-164,node,status,1145554526,0,running,HPC_E38,running,HPC,O O O O O O O,0,0,0,0,0,0,0,0,0,0
1425,450087,gige3,gige,temperature,1144667241,1,normal,HPC_E31,normal,HPC,O O O O O O O O O OBN O O O O O O OBN,0,0,2,0,0,0,0,0,0,0
1429,462282,node-94,node,temperature,1145552738,1,ambient=34,HPC_E2,ambient=<*>,HPC,O O O O O O O O,0,0,0,0,0,0,0,0,0,0
1432,480082,gige7,gige,temperature,1146100398,1,critical,HPC_E15,critical,HPC,O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
1433,479981,gige4,gige,temperature,1146058156,1,warning,HPC_E46,warning,HPC,O O O O O O O,0,0,0,0,0,0,0,0,0,0
1449,2558415,Interconnect-1T02,switch_module,error,1073119551,1,Link error,HPC_E21,Link error,HPC,O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
1452,2560515,Interconnect-1N01,switch_module,error,1073246148,1,Link ok,HPC_E25,Link ok,HPC,O O O O O O O,0,0,0,0,0,0,0,0,0,0
1456,2565070,Interconnect-1N01,switch_module,error,1073911806,1,Link in reset,HPC_E24,Link in reset,HPC,O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
1459,2570021,node-5,action,error,1074121927,1,risBoot (command 1903) Error: Timed out while waiting for SRM prompt: <ABORT code completed>,HPC_E37,risBoot (command <*>) Error: Timed out while waiting for SRM prompt: <ABORT code completed>,HPC,O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
1542,27373,node-55,action,error,1076176599,1,boot (command 2092) Error: HALT asserted\  cannot continue,HPC_E5,boot (command <*>) Error: HALT asserted\ cannot continue,HPC,O O O O O O O,0,0,0,0,0,0,0,0,0,0
1841,72725,3398,boot_cmd,error,1108648264,1,Failed subcommands 3406,HPC_E16,Failed subcommands <*>,HPC,O O O O O O O,0,0,0,0,0,0,0,0,0,0
1853,177431,Interconnect-1N00,switch_module,error,1114545444,1,Linkerror event interval expired,HPC_E26,Linkerror event interval expired,HPC,O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
1909,479886,Interconnect-1T02,switch_module,error,1146011009,1,link errors remain current,HPC_E23,link errors remain current,HPC,O O O O O O O,0,0,0,0,0,0,0,0,0,0
1980,211427,node-144,unix.hw,net.niff.up,1116610182,1,NIFF: node node-144 has detected an available network connection on network 10.96.0.0 via interface scip0,HPC_E30,NIFF: node node-<*> has detected an available network connection on network <*> via interface scip0,HPC,O O O O O O O O O O O O O O OBN,0,0,1,0,0,0,0,0,0,0
1999,219402,node-73,unix.hw,net.niff.up,1132154292,1,NIFF: node node-73 has detected an available network connection on network 0.0.0.0 via interface alt0,HPC_E28,NIFF: node node-<*> has detected an available network connection on network <*> via interface alt0,HPC,O O O O O O O O O O O O O O OBN,0,0,1,0,0,0,0,0,0,0
2000,288035,node-171,unix.hw,net.niff.up,1134671139,1,NIFF: node node-171 has detected an available network connection on network 10.128.0.0 via interface ee0,HPC_E29,NIFF: node node-<*> has detected an available network connection on network <*> via interface ee0,HPC,O O O O O O O,0,0,0,0,0,0,0,0,0,0
