LineId,Label,Timestamp,Date,Node,Time,NodeRepeat,Type,Component,Level,Content,EventId,EventTemplate,System,VariableTemplate,OID,LOI,OBN,TID,SID,TDA,CRS,OBA,STC,OTP
292,-,1118772602,2005.06.14,R21-M1-NA-C:J07-U01,2005-06-14-11.10.02.651943,R21-M1-NA-C:J07-U01,RAS,KERNEL,FATAL,"problem state (0=sup,1=usr).......0",BGL_E97,"problem state (<*>=sup,<*>=usr).......<*>",BGL,O O O O O O O O O O O OBA O O O O LOI,0,1,0,0,0,0,0,1,0,0
293,-,1118772772,2005.06.14,R21-M0-NF-C:J09-U01,2005-06-14-11.12.52.380819,R21-M0-NF-C:J09-U01,RAS,KERNEL,FATAL,floating point instr. enabled.....1,BGL_E62,floating point instr. enabled.....<*>,BGL,O O O O O O O O O O OBA,0,0,0,0,0,0,0,1,0,0
294,-,1118772810,2005.06.14,R27-M0-N9-C:J12-U01,2005-06-14-11.13.30.870052,R27-M0-N9-C:J12-U01,RAS,KERNEL,FATAL,special purpose registers:,BGL_E115,special purpose registers:,BGL,O O O O O O O O O OID O O O,1,0,0,0,0,0,0,0,0,0
295,-,1118772877,2005.06.14,R27-M1-N3-C:J04-U11,2005-06-14-11.14.37.821210,R27-M1-N3-C:J04-U11,RAS,KERNEL,FATAL,lr:00004ed0 cr:28244842 xer:20000002 ctr:00086000,BGL_E79,lr:<*> cr:<*> xer:<*> ctr:<*>,BGL,O O O O O O O O O OID O O O O,1,0,0,0,0,0,0,0,0,0
296,-,1118772927,2005.06.14,R27-M0-N6-C:J02-U11,2005-06-14-11.15.27.823191,R27-M0-N6-C:J02-U11,RAS,KERNEL,FATAL,rts internal error,BGL_E107,rts internal error,BGL,O O O O O O O O O O OID O OID,2,0,0,0,0,0,0,0,0,0
300,-,1118773424,2005.06.14,R25-M0-N2-C:J04-U11,2005-06-14-11.23.44.638394,R25-M0-N2-C:J04-U11,RAS,KERNEL,FATAL,floating pt ex mode 1 enable......0,BGL_E63,floating pt ex mode <*> enable......<*>,BGL,O O O O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
301,-,1118773618,2005.06.14,R25-M1-N7-C:J09-U11,2005-06-14-11.26.58.490506,R25-M1-N7-C:J09-U11,RAS,KERNEL,FATAL,instruction address space.........0,BGL_E75,instruction address space.........<*>,BGL,O O O O O O O O O O OID O OID,2,0,0,0,0,0,0,0,0,0
304,-,1118773772,2005.06.14,R24-M1-N0-C:J04-U11,2005-06-14-11.29.32.480633,R24-M1-N0-C:J04-U11,RAS,KERNEL,FATAL,data address space................0,BGL_E49,data address space................<*>,BGL,O O O O O O O O O OID O O O O,1,0,0,0,0,0,0,0,0,0
310,-,1118773883,2005.06.14,R24-M1-N6-C:J17-U01,2005-06-14-11.31.23.322583,R24-M1-N6-C:J17-U01,RAS,KERNEL,FATAL,core configuration register: 0x00002000,BGL_E43,core configuration register: <*>,BGL,O O O O O O O O O O O OID O OID O OID,3,0,0,0,0,0,0,0,0,0
313,-,1118774042,2005.06.14,R25-M1-N8-C:J03-U11,2005-06-14-11.34.02.588297,R25-M1-N8-C:J03-U11,RAS,KERNEL,FATAL,disable store gathering..................0,BGL_E59,disable store gathering..................<*>,BGL,O O O O O O O O O O OID O OID,2,0,0,0,0,0,0,0,0,0
346,APPREAD,1118958902,2005.06.16,R32-M1-N8-I:J18-U01,2005-06-16-14.55.02.074340,R32-M1-N8-I:J18-U01,RAS,APP,FATAL,ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:51706,BGL_E33,ciod: failed to read message prefix on control stream (CioStream socket to <*>:<*>,BGL,O O O O O O O O O O OBA,0,0,0,0,0,0,0,1,0,0
363,APPCHILD,1119319455,2005.06.20,R12-M1-NC-I:J18-U11,2005-06-20-19.04.15.002425,R12-M1-NC-I:J18-U11,RAS,APP,FATAL,ciod: Error creating node map from file /p/gb2/cabot/miranda/newmaps/8k_128x64x1_8x4x4.map: No child processes,BGL_E23,ciod: Error creating node map from file <*>: No child processes,BGL,O O O O O O O O O O OBA,0,0,0,0,0,0,0,1,0,0
440,-,1119803550,2005.06.26,R35-M0-NB-C:J16-U01,2005-06-26-09.32.30.029388,R35-M0-NB-C:J16-U01,RAS,KERNEL,INFO,data store interrupt caused by icbi.........0,BGL_E54,data store interrupt caused by icbi.........<*>,BGL,O O O O O O O O O TDA O O O O O O O O OBA O TDA O O O O O O O O O O O O O,0,0,0,0,0,2,0,1,0,0
444,-,1119803693,2005.06.26,R00-M1-N3-C:J11-U01,2005-06-26-09.34.53.251232,R00-M1-N3-C:J11-U01,RAS,KERNEL,INFO,program interrupt: unimplemented operation..0,BGL_E105,program interrupt: unimplemented operation..<*>,BGL,O O O O O O O O O O OID O OID,2,0,0,0,0,0,0,0,0,0
446,-,1119803856,2005.06.26,R02-M1-N4-C:J12-U01,2005-06-26-09.37.36.335874,R02-M1-N4-C:J12-U01,RAS,KERNEL,INFO,program interrupt: imprecise exception......0,BGL_E102,program interrupt: imprecise exception......<*>,BGL,O O O O O O O O O O OBA,0,0,0,0,0,0,0,1,0,0
449,-,1119806955,2005.06.26,R03-M1-NC-C:J05-U11,2005-06-26-10.29.15.890436,R03-M1-NC-C:J05-U11,RAS,KERNEL,INFO,program interrupt,BGL_E98,program interrupt,BGL,O O O O O O O O O O OBA,0,0,0,0,0,0,0,1,0,0
450,-,1119806971,2005.06.26,R05-M1-N8-C:J15-U11,2005-06-26-10.29.31.819506,R05-M1-N8-C:J15-U11,RAS,KERNEL,INFO,instruction address: 0x0062fe04,BGL_E76,instruction address: <*>,BGL,O O O O O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
451,-,1119807051,2005.06.26,R05-M0-N6-C:J06-U11,2005-06-26-10.30.51.645473,R05-M0-N6-C:J06-U11,RAS,KERNEL,INFO,exception syndrome register: 0x08000000,BGL_E61,exception syndrome register: <*>,BGL,O O O O O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
452,-,1119807165,2005.06.26,R00-M0-N4-C:J02-U01,2005-06-26-10.32.45.810547,R00-M0-N4-C:J02-U01,RAS,KERNEL,INFO,program interrupt: illegal instruction......1,BGL_E101,program interrupt: illegal instruction......<*>,BGL,O O O O O O O O O TDA O O O O O O O O OBA O TDA O O O O O O O O O O O O O,0,0,0,0,0,2,0,1,0,0
455,-,1119807491,2005.06.26,R02-M0-N9-C:J06-U01,2005-06-26-10.38.11.390037,R02-M0-N9-C:J06-U01,RAS,KERNEL,INFO,data store interrupt caused by dcbf.........0,BGL_E53,data store interrupt caused by dcbf.........<*>,BGL,O O O O O O O O O O OBA,0,0,0,0,0,0,0,1,0,0
456,-,1119807588,2005.06.26,R33-M1-N3-C:J16-U11,2005-06-26-10.39.48.944209,R33-M1-N3-C:J16-U11,RAS,KERNEL,INFO,auxiliary processor.........................0,BGL_E15,auxiliary processor.........................<*>,BGL,O O O O O O O O O O OBA,0,0,0,0,0,0,0,1,0,0
497,-,1120173883,2005.06.30,R36-M1-N4-I:J18-U01,2005-06-30-16.24.43.164196,R36-M1-N4-I:J18-U01,RAS,APP,FATAL,ciod: Error creating node map from file /p/gb2/welcome3/32k_128x256x1_8x4x4.map: Bad file descriptor,BGL_E21,ciod: Error creating node map from file <*>: Bad file descriptor,BGL,O O O O O O O O O OBA O O O O O O TDA O O O O O O O TDA O O O O O O O O,0,0,0,0,0,2,0,1,0,0
622,-,1120908821,2005.07.09,R20-M0-N8-I:J18-U01,2005-07-09-04.33.41.091472,R20-M0-N8-I:J18-U01,RAS,KERNEL,INFO,ciod: duplicate canonical-rank 31 to logical-rank 0 mapping at line 3 of node map file /p/gb2/pakin1/sweep3d-5x5x400-10mk-3mmi-1024pes-sweep/sweep.map,BGL_E20,ciod: duplicate canonical-rank <*> to logical-rank <*> mapping at line <*> of node map file <*>,BGL,O O O O O O O O O TDA O O O O O O O O OBA O TDA O O O O O O O O O O O O O,0,0,0,0,0,2,0,1,0,0
623,-,1120909906,2005.07.09,R16-M1-NC-I:J18-U11,2005-07-09-04.51.46.753675,R16-M1-NC-I:J18-U11,RAS,APP,FATAL,ciod: Error creating node map from file /p/gb2/pakin1/sweep3d-5x5x400-10mk-3mmi-1024pes-xyzt/xyzt.map: Block device required,BGL_E22,ciod: Error creating node map from file <*>: Block device required,BGL,O O O O O O O O O O O O LOI O O O O O O O,0,1,0,0,0,0,0,0,0,0
824,KERNRTSP,1121115819,2005.07.11,R04-M0-N1-C:J02-U01,2005-07-11-14.03.39.101778,R04-M0-N1-C:J02-U01,RAS,KERNEL,FATAL,rts panic! - stopping execution,BGL_E108,rts panic! - stopping execution,BGL,O O O O O O O O O O O O O O O O O O LOI O O O O,0,1,0,0,0,0,0,0,0,0
946,-,1121383222,2005.07.14,R01-M0-N0-I:J18-U11,2005-07-14-16.20.22.672549,R01-M0-N0-I:J18-U11,RAS,APP,FATAL,ciod: Error creating node map from file /home/pakin1/sweep3d-2.2b/results/random1-8x32x32x2.map: Permission denied,BGL_E24,ciod: Error creating node map from file <*>: Permission denied,BGL,O O O O O O O O O O OBA,0,0,0,0,0,0,0,1,0,0
947,-,1121408299,2005.07.14,R23-M0-N0-I:J18-U01,2005-07-14-23.18.19.684786,R23-M0-N0-I:J18-U01,RAS,KERNEL,INFO,ciod: Z coordinate 32 exceeds physical dimension 32 at line 33 of node map file /p/gb2/pakin1/contention-32768cpes-torus/xyzt-1x1x32768x1.map,BGL_E42,ciod: Z coordinate <*> exceeds physical dimension <*> at line <*> of node map file <*>,BGL,O O O O O O O O O O OBA,0,0,0,0,0,0,0,1,0,0
1030,KERNTERM,1121727206,2005.07.18,R20-M1-N8-C:J12-U01,2005-07-18-15.53.26.229596,R20-M1-N8-C:J12-U01,RAS,KERNEL,FATAL,"rts: kernel terminated for reason 1001rts: bad message header: invalid cpu, type=42315, cpu=105, index=1207960804, total=2691015",BGL_E112,"rts: kernel terminated for reason <*>: bad message header: invalid cpu, type=<*>, cpu=<*>, index=<*>, total=<*>",BGL,O O O O O O O O O O OBA,0,0,0,0,0,0,0,1,0,0
1031,-,1121727746,2005.07.18,R00-M1-N5-C:J03-U11,2005-07-18-16.02.26.154455,R00-M1-N5-C:J03-U11,RAS,KERNEL,FATAL,debug wait enable.................0,BGL_E58,debug wait enable.................<*>,BGL,O O O O O O O O O O O O O O O O O O LOI O O O O,0,1,0,0,0,0,0,0,0,0
1198,-,1122574115,2005.07.28,R31-M0-NB-C:J12-U11,2005-07-28-11.08.35.403371,R31-M0-NB-C:J12-U11,RAS,KERNEL,INFO,generating core.6161,BGL_E67,generating core.<*>,BGL,O O O O O O O O O O O O O O O O LOI O O O,0,1,0,0,0,0,0,0,0,0
1202,-,1123025954,2005.08.02,R23-M0-N7,2005-08-02-16.39.14.159918,R23-M0-N7,,HARDWARE,SEVERE,NodeCard is not fully functional,BGL_E94,NodeCard is not fully functional,BGL,O O O O O O O O O O OBA,0,0,0,0,0,0,0,1,0,0
1203,-,1123030687,2005.08.02,R00-M0-N2,2005-08-02-17.58.07.084868,R00-M0-N2,,DISCOVERY,ERROR,"Node card status: ALERT 0, ALERT 1, ALERT 2, ALERT 3 is (are) active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is not asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD is asserted. PGOOD error latch is clear. MPGOOD is OK. MPGOOD error latch is clear. The 2.5 volt rail is OK. The 1.5 volt rail is OK.",BGL_E91,"Node card status: ALERT <*>, ALERT <*>, ALERT <*>, ALERT <*> is (are) active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is not asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD is asserted. PGOOD error latch is clear. MPGOOD is OK. MPGOOD error latch is clear. The <*> volt rail is OK. The <*> volt rail is OK.",BGL,O O O O O O O O O O O OBA O O O O LOI,0,1,0,0,0,0,0,1,0,0
1206,-,1123043313,2005.08.02,UNKNOWN_LOCATION,2005-08-02-21.28.33.869729,UNKNOWN_LOCATION,,DISCOVERY,INFO,New ido chip inserted into the database: FF:F2:9F:16:C4:C2:00:0D:60:E9:3B:3D ip=10.2.1.37 v=13 t=4,BGL_E88,New ido chip inserted into the database: <*> ip=<*> v=<*> t=<*>,BGL,O O O O O O O O O O OBA,0,0,0,0,0,0,0,1,0,0
1224,-,1123262593,2005.08.05,R25-M1-N2,2005-08-05-10.23.13.029850,R25-M1-N2,,HARDWARE,WARNING,"PrepareForService shutting down NodeCard(mLctn(R25-M1-N2), mCardSernum(203231503833343000000000594c31304b34333431303158), mLp(FF:F2:9F:16:CF:0F:00:0D:60:E9:30:F0), mIp(10.2.2.80), mType(4)) as part of Service Action 310",BGL_E96,"PrepareForService shutting down NodeCard(mLctn(<*>), mCardSernum(<*>), mLp(<*>), mIp(<*>), mType(<*>)) as part of Service Action <*>",BGL,O O O O O O O O O O OBA,0,0,0,0,0,0,0,1,0,0
1229,-,1123609672,2005.08.09,R44-M0-N3,2005-08-09-10.47.52.703182,R44-M0-N3,,DISCOVERY,SEVERE,Can not get assembly information for node card,BGL_E17,Can not get assembly information for node card,BGL,O O O O O O O O O O OID O OID,2,0,0,0,0,0,0,0,0,0
1232,-,1123614572,2005.08.09,R00-M0-N6-C:J03-U11,2005-08-09-12.09.32.252222,R00-M0-N6-C:J03-U11,RAS,KERNEL,FATAL,rts tree/torus link training failed: wanted: B C X+ X- Y+ Y- Z+ Z- got: B C X- Y- Z+ Z-,BGL_E109,rts tree/torus link training failed: wanted: <*> got: <*>,BGL,O O O O O O O O O O OID O OID,2,0,0,0,0,0,0,0,0,0
1258,-,1124131896,2005.08.15,R40-M1-N0-I:J18-U11,2005-08-15-11.51.36.375271,R40-M1-N0-I:J18-U11,RAS,KERNEL,INFO,ciod: Missing or invalid fields on line 1 of node map file /home/auselton/bgl/mapfiles/bgl.128mps.f64.map,BGL_E39,ciod: Missing or invalid fields on line <*> of node map file <*>,BGL,O O O O O O O O O OBA O O O O O O TDA O O O O O O O TDA O O O O O O O O,0,0,0,0,0,2,0,1,0,0
1354,-,1125223026,2005.08.28,R54-M0-NC-C:J09-U11,2005-08-28-02.57.06.184496,R54-M0-NC-C:J09-U11,RAS,KERNEL,INFO,32888202 double-hummer alignment exceptions,BGL_E3,<*> double-hummer alignment exceptions,BGL,O O O O O O O O O O OBA,0,0,0,0,0,0,0,1,0,0
1372,-,1125225361,2005.08.28,R05-M0-NC-I:J18-U11,2005-08-28-03.36.01.417658,R05-M0-NC-I:J18-U11,RAS,KERNEL,INFO,"NFS Mount failed on bglio91, slept 15 seconds, retrying (1)",BGL_E89,"NFS Mount failed on <*>, slept <*> seconds, retrying (<*>)",BGL,O O O O O O O O O O OBA,0,0,0,0,0,0,0,1,0,0
1385,-,1125730913,2005.09.03,R06-M1-N6-C:J15-U01,2005-09-03-00.01.53.125988,R06-M1-N6-C:J15-U01,RAS,KERNEL,INFO,1 torus receiver x+ input pipe error(s) (dcr 0x02ec) detected and corrected,BGL_E8,<*> torus receiver x+ input pipe error(s) (dcr <*>) detected and corrected,BGL,O O O O O O O O O O OBA,0,0,0,0,0,0,0,1,0,0
1394,-,1126211906,2005.09.08,R62-M1-NC-I:J18-U11,2005-09-08-13.38.26.477794,R62-M1-NC-I:J18-U11,RAS,KERNEL,INFO,"ciod: In packet from node 91.0 (R62-M1-Nf-C:J03-U11), message code 2 is not 3 or 4294967295 (softheader=003b005b 00030000 00000001 00000000)",BGL_E35,"ciod: In packet from node <*> (<*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)",BGL,O O O O O O O O O O OBA,0,0,0,0,0,0,0,1,0,0
1395,-,1126267442,2005.09.09,R13-M0-N2-C:J09-U01,2005-09-09-05.04.02.346866,R13-M0-N2-C:J09-U01,RAS,KERNEL,INFO,1 torus receiver y+ input pipe error(s) (dcr 0x02ee) detected and corrected,BGL_E9,<*> torus receiver y+ input pipe error(s) (dcr <*>) detected and corrected,BGL,O O O O O O O O O O O O OID,1,0,0,0,0,0,0,0,0,0
1404,KERNMNTF,1126627325,2005.09.13,R30-M0-N4-I:J18-U01,2005-09-13-09.02.05.602211,R30-M0-N4-I:J18-U01,RAS,KERNEL,FATAL,Lustre mount FAILED : bglio388 : point /p/gb1,BGL_E81,Lustre mount FAILED : <*> : point <*>,BGL,O O O O O O O O O O OBA,0,0,0,0,0,0,0,1,0,0
1407,-,1126969026,2005.09.17,UNKNOWN_LOCATION,2005-09-17-07.57.06.422022,UNKNOWN_LOCATION,,DISCOVERY,INFO,Ido chip status changed: FF:F2:9F:15:7B:E0:00:0D:60:EA:84:1F ip=10.7.0.130 v=13 t=1 status=M Sat Sep 17 07:49:04 PDT 2005,BGL_E73,Ido chip status changed: <*> ip=<*> v=<*> t=<*> status=M <*>,BGL,O O O O O O O O O O OBA,0,0,0,0,0,0,0,1,0,0
1408,-,1126979315,2005.09.17,R76-M1-N8,2005-09-17-10.48.35.944995,R76-M1-N8,,DISCOVERY,ERROR,Node card status: no ALERTs are active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD IS NOT OK. MPGOOD ERROR LATCH IS ACTIVE. The 2.5 volt rail is OK. The 1.5 volt rail is OK.,BGL_E92,Node card status: no ALERTs are active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD IS NOT OK. MPGOOD ERROR LATCH IS ACTIVE. The <*> volt rail is OK. The <*> volt rail is OK.,BGL,O O O O O O O O O O O O OID,1,0,0,0,0,0,0,0,0,0
1442,-,1127248870,2005.09.20,,2005-09-20-13.41.10.218619,,RAS,MMCS,ERROR,"idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)",BGL_E74,"idoproxydb hit ASSERT condition: ASSERT expression=<*> Source file=idotransportmgr.cpp Source line=<*> Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)",BGL,O O O O O O O O O O OBA,0,0,0,0,0,0,0,1,0,0
1448,-,1127264516,2005.09.20,R05-M0-N1-C:J06-U11,2005-09-20-18.01.56.398119,R05-M0-N1-C:J06-U11,RAS,KERNEL,FATAL,rts: bad message header: expecting type 57 instead of type 3 (softheader=00131db8 81aa0003 00000002 00000000) PSR0=00001f01 PSR1=00000000 PRXF=00000002 PIXF=00000007,BGL_E110,rts: bad message header: expecting type <*> instead of type <*> (softheader=<*> <*> <*> <*>) PSR0=<*> PSR1=<*> PRXF=<*> PIXF=<*>,BGL,O O O O O O O O O O OBA,0,0,0,0,0,0,0,1,0,0
1469,-,1128027755,2005.09.29,R03-M1-ND-C:J14-U01,2005-09-29-14.02.35.872055,R03-M1-ND-C:J14-U01,RAS,KERNEL,INFO,critical input interrupt (unit=0x0b bit=0x06): warning for torus y+ wire,BGL_E44,critical input interrupt (unit=<*> bit=<*>): warning for torus y+ wire,BGL,O O O O O O O O O O OBA,0,0,0,0,0,0,0,1,0,0
1495,-,1129271439,2005.10.13,R06-M1-NA-C:J08-U11,2005-10-13-23.30.39.273604,R06-M1-NA-C:J08-U11,RAS,KERNEL,INFO,suppressing further interrupts of same type,BGL_E117,suppressing further interrupts of same type,BGL,O O O O O O O O O O OBA,0,0,0,0,0,0,0,1,0,0
1502,APPSEV,1129501476,2005.10.16,R71-M1-N0-I:J18-U01,2005-10-16-15.24.36.889002,R71-M1-N0-I:J18-U01,RAS,APP,FATAL,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to 172.16.96.116:47696: Link has been severed,BGL_E29,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to <*>:<*>: Link has been severed,BGL,O O O O O O O O O O OBA,0,0,0,0,0,0,0,1,0,0
1508,-,1129552512,2005.10.17,R02-M0-N4-C:J04-U11,2005-10-17-05.35.12.825443,R02-M0-N4-C:J04-U11,RAS,KERNEL,INFO,data cache search parity error detected. attempting to correct,BGL_E51,data cache search parity error detected. attempting to correct,BGL,O O O O O O O O O O OBA,0,0,0,0,0,0,0,1,0,0
1511,-,1129734520,2005.10.19,R17-M0-N0-I:J18-U01,2005-10-19-08.08.40.058960,R17-M0-N0-I:J18-U01,RAS,KERNEL,INFO,shutdown complete,BGL_E113,shutdown complete,BGL,O O O O O O O O O OID O O O,1,0,0,0,0,0,0,0,0,0
