BlockId,Label
<ANM>blk_3312198496468502316,Normal</ANM>
<ANM>blk_3894335463008345041,Normal</ANM>
<ANM>blk_2824047463816148563,Normal</ANM>
<ANM>blk_-5808893254440551816,Normal</ANM>
<ANM>blk_342378162324355732,Normal</ANM>
<ANM>blk_7224257732880626802,Normal</ANM>
<ANM>blk_4820650745157199554,Normal</ANM>
<ANM>blk_-328970571549408286,Normal</ANM>
<ANM>blk_-7266711648018793699,Normal</ANM>
<ANM>blk_798664047382151445,Normal</ANM>
<ANM>blk_-3582070652284403613,Normal</ANM>
<ANM>blk_5580254744888391593,Normal</ANM>
<ANM>blk_-8562334328670278932,Normal</ANM>
<ANM>blk_-3702595599317472079,Normal</ANM>
<ANM>blk_1553688227908800900,Normal</ANM>
<ANM>blk_9173199815015538212,Normal</ANM>
<ANM>blk_3073404534069578592,Normal</ANM>
<ANM>blk_5739119717322549945,Normal</ANM>
<ANM>blk_5176179471361959897,Normal</ANM>
<ANM>blk_-3384560576963801177,Normal</ANM>
<ANM>blk_-7866582011201618766,Normal</ANM>
<ANM>blk_-352190670750948803,Normal</ANM>
<ANM>blk_8602496359012842630,Normal</ANM>
<ANM>blk_166171721314010075,Normal</ANM>
<ANM>blk_-6369730481066968769,Normal</ANM>
<ANM>blk_-2901225370888235702,Normal</ANM>
<ANM>blk_8418106412701718933,Normal</ANM>
<ANM>blk_4343207286455274569,Normal</ANM>
<ANM>blk_2713941272199175167,Normal</ANM>
<ANM>blk_3515154079719300106,Normal</ANM>
<ANM>blk_-8835758154471700679,Normal</ANM>
<ANM>blk_5781791720343455145,Normal</ANM>
<ANM>blk_6392434729242722288,Normal</ANM>
<ANM>blk_2380775154966815858,Normal</ANM>
<ANM>blk_9095955277706686312,Anomaly</ANM>
<ANM>blk_-703436021914343546,Normal</ANM>
<ANM>blk_5100975846124291571,Normal</ANM>
<ANM>blk_-5892603381347650390,Normal</ANM>
<ANM>blk_4307207852226914003,Normal</ANM>
<ANM>blk_5771906433100975293,Normal</ANM>
<ANM>blk_-6865167803683277211,Normal</ANM>
<ANM>blk_6465095458973828118,Normal</ANM>
<ANM>blk_-1162676743264290624,Normal</ANM>
<ANM>blk_-8360774680830158225,Normal</ANM>
<ANM>blk_7294821275446427348,Normal</ANM>
<ANM>blk_9074726164158535746,Normal</ANM>
<ANM>blk_-3693786175267111588,Normal</ANM>
<ANM>blk_1411218759880637753,Normal</ANM>
<ANM>blk_4774656339381154282,Normal</ANM>
<ANM>blk_-719178972315562824,Normal</ANM>
<ANM>blk_-6956067134432991406,Normal</ANM>
<ANM>blk_-749176535135404637,Normal</ANM>
<ANM>blk_1213582438865696738,Normal</ANM>
<ANM>blk_5272731391668336674,Normal</ANM>
<ANM>blk_-9120005470237070778,Normal</ANM>
<ANM>blk_3079488924320077240,Normal</ANM>
<ANM>blk_-5852844080027817147,Normal</ANM>
<ANM>blk_-3170270010972115378,Normal</ANM>
<ANM>blk_4178945095089206682,Normal</ANM>
<ANM>blk_6077744985764117617,Normal</ANM>
<ANM>blk_-5306443381473737599,Normal</ANM>
<ANM>blk_3070718541088657475,Normal</ANM>
<ANM>blk_9014154925388243050,Normal</ANM>
<ANM>blk_207875475387433291,Normal</ANM>
<ANM>blk_-1657856234642335063,Normal</ANM>
<ANM>blk_-531469051872229488,Normal</ANM>
